country,date,cases
United Kingdom,2020-03-16,0
United Kingdom,2020-03-17,0
United Kingdom,2020-03-18,0
United Kingdom,2020-03-19,2
United Kingdom,2020-03-20,2
United Kingdom,2020-03-21,2
United Kingdom,2020-03-22,6
United Kingdom,2020-03-23,6
United Kingdom,2020-03-24,6
United Kingdom,2020-03-25,7
United Kingdom,2020-03-26,15
United Kingdom,2020-03-27,17
United Kingdom,2020-03-28,17
United Kingdom,2020-03-29,22
United Kingdom,2020-03-30,27
United Kingdom,2020-03-31,32
United Kingdom,2020-04-01,32
United Kingdom,2020-04-02,35
United Kingdom,2020-04-03,35
United Kingdom,2020-04-04,35
United Kingdom,2020-04-05,37
United Kingdom,2020-04-06,39
United Kingdom,2020-04-07,39
United Kingdom,2020-04-08,39
United Kingdom,2020-04-09,48
United Kingdom,2020-04-10,48
United Kingdom,2020-04-11,48
United Kingdom,2020-04-12,57
United Kingdom,2020-04-13,57
United Kingdom,2020-04-14,57
United Kingdom,2020-04-15,81
United Kingdom,2020-04-16,81
United Kingdom,2020-04-17,83
United Kingdom,2020-04-18,83
United Kingdom,2020-04-19,86
United Kingdom,2020-04-20,86
United Kingdom,2020-04-21,86
United Kingdom,2020-04-22,99
United Kingdom,2020-04-23,99
United Kingdom,2020-04-24,99
United Kingdom,2020-04-25,109
United Kingdom,2020-04-26,109
United Kingdom,2020-04-27,110
United Kingdom,2020-04-28,110
United Kingdom,2020-04-29,111
United Kingdom,2020-04-30,114
United Kingdom,2020-05-01,114
United Kingdom,2020-05-02,114
United Kingdom,2020-05-03,115
United Kingdom,2020-05-04,115
United Kingdom,2020-05-05,115
United Kingdom,2020-05-06,118
United Kingdom,2020-05-07,118
United Kingdom,2020-05-08,118
United Kingdom,2020-05-09,118
United Kingdom,2020-05-10,118
United Kingdom,2020-05-11,119
United Kingdom,2020-05-12,121
United Kingdom,2020-05-13,121
United Kingdom,2020-05-14,122
Iraq,2020-01-22,0
Iraq,2020-01-23,0
Iraq,2020-01-24,0
Iraq,2020-01-25,0
Iraq,2020-01-26,0
Iraq,2020-01-27,0
Iraq,2020-01-28,0
Iraq,2020-01-29,0
Iraq,2020-01-30,0
Iraq,2020-01-31,0
Iraq,2020-02-01,0
Iraq,2020-02-02,0
Iraq,2020-02-03,0
Iraq,2020-02-04,0
Iraq,2020-02-05,0
Iraq,2020-02-06,0
Iraq,2020-02-07,0
Iraq,2020-02-08,0
Iraq,2020-02-09,0
Iraq,2020-02-10,0
Iraq,2020-02-11,0
Iraq,2020-02-12,0
Iraq,2020-02-13,0
Iraq,2020-02-14,0
Iraq,2020-02-15,0
Iraq,2020-02-16,0
Iraq,2020-02-17,0
Iraq,2020-02-18,0
Iraq,2020-02-19,0
Iraq,2020-02-20,0
Iraq,2020-02-21,0
Iraq,2020-02-22,0
Iraq,2020-02-23,0
Iraq,2020-02-24,1
Iraq,2020-02-25,1
Iraq,2020-02-26,5
Iraq,2020-02-27,7
Iraq,2020-02-28,7
Iraq,2020-02-29,13
Iraq,2020-03-01,19
Iraq,2020-03-02,26
Iraq,2020-03-03,32
Iraq,2020-03-04,35
Iraq,2020-03-05,35
Iraq,2020-03-06,40
Iraq,2020-03-07,54
Iraq,2020-03-08,60
Iraq,2020-03-09,60
Iraq,2020-03-10,71
Iraq,2020-03-11,71
Iraq,2020-03-12,71
Iraq,2020-03-13,101
Iraq,2020-03-14,110
Iraq,2020-03-15,116
Iraq,2020-03-16,124
Iraq,2020-03-17,154
Iraq,2020-03-18,164
Iraq,2020-03-19,192
Iraq,2020-03-20,208
Iraq,2020-03-21,214
Iraq,2020-03-22,233
Iraq,2020-03-23,266
Iraq,2020-03-24,316
Iraq,2020-03-25,346
Iraq,2020-03-26,382
Iraq,2020-03-27,458
Iraq,2020-03-28,506
Iraq,2020-03-29,547
Iraq,2020-03-30,630
Iraq,2020-03-31,694
Iraq,2020-04-01,728
Iraq,2020-04-02,772
Iraq,2020-04-03,820
Iraq,2020-04-04,878
Iraq,2020-04-05,961
Iraq,2020-04-06,1031
Iraq,2020-04-07,1122
Iraq,2020-04-08,1202
Iraq,2020-04-09,1232
Iraq,2020-04-10,1279
Iraq,2020-04-11,1318
Iraq,2020-04-12,1352
Iraq,2020-04-13,1378
Iraq,2020-04-14,1400
Iraq,2020-04-15,1415
Iraq,2020-04-16,1434
Iraq,2020-04-17,1482
Iraq,2020-04-18,1513
Iraq,2020-04-19,1539
Iraq,2020-04-20,1574
Iraq,2020-04-21,1602
Iraq,2020-04-22,1631
Iraq,2020-04-23,1677
Iraq,2020-04-24,1708
Iraq,2020-04-25,1763
Iraq,2020-04-26,1820
Iraq,2020-04-27,1847
Iraq,2020-04-28,1928
Iraq,2020-04-29,2003
Iraq,2020-04-30,2085
Iraq,2020-05-01,2153
Iraq,2020-05-02,2219
Iraq,2020-05-03,2296
Iraq,2020-05-04,2346
Iraq,2020-05-05,2431
Iraq,2020-05-06,2480
Iraq,2020-05-07,2543
Iraq,2020-05-08,2603
Iraq,2020-05-09,2679
Iraq,2020-05-10,2767
Iraq,2020-05-11,2818
Iraq,2020-05-12,2913
Iraq,2020-05-13,3032
Iraq,2020-05-14,3143
Japan,2020-01-22,2
Japan,2020-01-23,2
Japan,2020-01-24,2
Japan,2020-01-25,2
Japan,2020-01-26,4
Japan,2020-01-27,4
Japan,2020-01-28,7
Japan,2020-01-29,7
Japan,2020-01-30,11
Japan,2020-01-31,15
Japan,2020-02-01,20
Japan,2020-02-02,20
Japan,2020-02-03,20
Japan,2020-02-04,22
Japan,2020-02-05,22
Japan,2020-02-06,22
Japan,2020-02-07,25
Japan,2020-02-08,25
Japan,2020-02-09,26
Japan,2020-02-10,26
Japan,2020-02-11,26
Japan,2020-02-12,28
Japan,2020-02-13,28
Japan,2020-02-14,29
Japan,2020-02-15,43
Japan,2020-02-16,59
Japan,2020-02-17,66
Japan,2020-02-18,74
Japan,2020-02-19,84
Japan,2020-02-20,94
Japan,2020-02-21,105
Japan,2020-02-22,122
Japan,2020-02-23,147
Japan,2020-02-24,159
Japan,2020-02-25,170
Japan,2020-02-26,189
Japan,2020-02-27,214
Japan,2020-02-28,228
Japan,2020-02-29,241
Japan,2020-03-01,256
Japan,2020-03-02,274
Japan,2020-03-03,293
Japan,2020-03-04,331
Japan,2020-03-05,360
Japan,2020-03-06,420
Japan,2020-03-07,461
Japan,2020-03-08,502
Japan,2020-03-09,511
Japan,2020-03-10,581
Japan,2020-03-11,639
Japan,2020-03-12,639
Japan,2020-03-13,701
Japan,2020-03-14,773
Japan,2020-03-15,839
Japan,2020-03-16,839
Japan,2020-03-17,878
Japan,2020-03-18,889
Japan,2020-03-19,924
Japan,2020-03-20,963
Japan,2020-03-21,1007
Japan,2020-03-22,1101
Japan,2020-03-23,1128
Japan,2020-03-24,1193
Japan,2020-03-25,1307
Japan,2020-03-26,1387
Japan,2020-03-27,1468
Japan,2020-03-28,1693
Japan,2020-03-29,1866
Japan,2020-03-30,1866
Japan,2020-03-31,1953
Japan,2020-04-01,2178
Japan,2020-04-02,2495
Japan,2020-04-03,2617
Japan,2020-04-04,3139
Japan,2020-04-05,3139
Japan,2020-04-06,3654
Japan,2020-04-07,3906
Japan,2020-04-08,4257
Japan,2020-04-09,4667
Japan,2020-04-10,5530
Japan,2020-04-11,6005
Japan,2020-04-12,6748
Japan,2020-04-13,7370
Japan,2020-04-14,7645
Japan,2020-04-15,8100
Japan,2020-04-16,8626
Japan,2020-04-17,9787
Japan,2020-04-18,10296
Japan,2020-04-19,10797
Japan,2020-04-20,10797
Japan,2020-04-21,11135
Japan,2020-04-22,11512
Japan,2020-04-23,12368
Japan,2020-04-24,12829
Japan,2020-04-25,13231
Japan,2020-04-26,13441
Japan,2020-04-27,14153
Japan,2020-04-28,13736
Japan,2020-04-29,13895
Japan,2020-04-30,14088
Japan,2020-05-01,14305
Japan,2020-05-02,14571
Japan,2020-05-03,14877
Japan,2020-05-04,15078
Japan,2020-05-05,15253
Japan,2020-05-06,15253
Japan,2020-05-07,15477
Japan,2020-05-08,15575
Japan,2020-05-09,15663
Japan,2020-05-10,15777
Japan,2020-05-11,15847
Japan,2020-05-12,15968
Japan,2020-05-13,16049
Japan,2020-05-14,16120
Germany,2020-01-22,0
Germany,2020-01-23,0
Germany,2020-01-24,0
Germany,2020-01-25,0
Germany,2020-01-26,0
Germany,2020-01-27,1
Germany,2020-01-28,4
Germany,2020-01-29,4
Germany,2020-01-30,4
Germany,2020-01-31,5
Germany,2020-02-01,8
Germany,2020-02-02,10
Germany,2020-02-03,12
Germany,2020-02-04,12
Germany,2020-02-05,12
Germany,2020-02-06,12
Germany,2020-02-07,13
Germany,2020-02-08,13
Germany,2020-02-09,14
Germany,2020-02-10,14
Germany,2020-02-11,16
Germany,2020-02-12,16
Germany,2020-02-13,16
Germany,2020-02-14,16
Germany,2020-02-15,16
Germany,2020-02-16,16
Germany,2020-02-17,16
