country,date,cases,cases_lag_1,cases_lag_2,cases_lag_3,cases_lag_4,cases_lag_5,cases_lag_6,cases_lag_7,cases_lag_8,cases_lag_9,cases_lag_10,cases_lag_11,cases_lag_12,cases_lag_13,cases_lag_14,cases_lag_15,cases_lag_16,cases_lag_17,cases_lag_18,cases_lag_19
United States,2020-03-31,188172,161831,140909,121465,101657,83836,65778,53736,43843,33276,25600,19273,13747,7783,6421,4632,3499,2727,2179,1663
United States,2020-04-01,213242,188172,161831,140909,121465,101657,83836,65778,53736,43843,33276,25600,19273,13747,7783,6421,4632,3499,2727,2179
United States,2020-04-02,243622,213242,188172,161831,140909,121465,101657,83836,65778,53736,43843,33276,25600,19273,13747,7783,6421,4632,3499,2727
United States,2020-04-03,275367,243622,213242,188172,161831,140909,121465,101657,83836,65778,53736,43843,33276,25600,19273,13747,7783,6421,4632,3499
United States,2020-04-04,308650,275367,243622,213242,188172,161831,140909,121465,101657,83836,65778,53736,43843,33276,25600,19273,13747,7783,6421,4632
United States,2020-04-05,336802,308650,275367,243622,213242,188172,161831,140909,121465,101657,83836,65778,53736,43843,33276,25600,19273,13747,7783,6421
United States,2020-04-06,366317,336802,308650,275367,243622,213242,188172,161831,140909,121465,101657,83836,65778,53736,43843,33276,25600,19273,13747,7783
United States,2020-04-07,397121,366317,336802,308650,275367,243622,213242,188172,161831,140909,121465,101657,83836,65778,53736,43843,33276,25600,19273,13747
United States,2020-04-08,428654,397121,366317,336802,308650,275367,243622,213242,188172,161831,140909,121465,101657,83836,65778,53736,43843,33276,25600,19273
United States,2020-04-09,462780,428654,397121,366317,336802,308650,275367,243622,213242,188172,161831,140909,121465,101657,83836,65778,53736,43843,33276,25600
United States,2020-04-10,496535,462780,428654,397121,366317,336802,308650,275367,243622,213242,188172,161831,140909,121465,101657,83836,65778,53736,43843,33276
United States,2020-04-11,526396,496535,462780,428654,397121,366317,336802,308650,275367,243622,213242,188172,161831,140909,121465,101657,83836,65778,53736,43843
United States,2020-04-12,555313,526396,496535,462780,428654,397121,366317,336802,308650,275367,243622,213242,188172,161831,140909,121465,101657,83836,65778,53736
United States,2020-04-13,580619,555313,526396,496535,462780,428654,397121,366317,336802,308650,275367,243622,213242,188172,161831,140909,121465,101657,83836,65778
United States,2020-04-14,607670,580619,555313,526396,496535,462780,428654,397121,366317,336802,308650,275367,243622,213242,188172,161831,140909,121465,101657,83836
United States,2020-04-15,636350,607670,580619,555313,526396,496535,462780,428654,397121,366317,336802,308650,275367,243622,213242,188172,161831,140909,121465,101657
United States,2020-04-16,667592,636350,607670,580619,555313,526396,496535,462780,428654,397121,366317,336802,308650,275367,243622,213242,188172,161831,140909,121465
United States,2020-04-17,699706,667592,636350,607670,580619,555313,526396,496535,462780,428654,397121,366317,336802,308650,275367,243622,213242,188172,161831,140909
United States,2020-04-18,732197,699706,667592,636350,607670,580619,555313,526396,496535,462780,428654,397121,366317,336802,308650,275367,243622,213242,188172,161831
United States,2020-04-19,758809,732197,699706,667592,636350,607670,580619,555313,526396,496535,462780,428654,397121,366317,336802,308650,275367,243622,213242,188172
United States,2020-04-20,784326,758809,732197,699706,667592,636350,607670,580619,555313,526396,496535,462780,428654,397121,366317,336802,308650,275367,243622,213242
United States,2020-04-21,811865,784326,758809,732197,699706,667592,636350,607670,580619,555313,526396,496535,462780,428654,397121,366317,336802,308650,275367,243622
United States,2020-04-22,840351,811865,784326,758809,732197,699706,667592,636350,607670,580619,555313,526396,496535,462780,428654,397121,366317,336802,308650,275367
United States,2020-04-23,869170,840351,811865,784326,758809,732197,699706,667592,636350,607670,580619,555313,526396,496535,462780,428654,397121,366317,336802,308650
United States,2020-04-24,905358,869170,840351,811865,784326,758809,732197,699706,667592,636350,607670,580619,555313,526396,496535,462780,428654,397121,366317,336802
United States,2020-04-25,938154,905358,869170,840351,811865,784326,758809,732197,699706,667592,636350,607670,580619,555313,526396,496535,462780,428654,397121,366317
United States,2020-04-26,965785,938154,905358,869170,840351,811865,784326,758809,732197,699706,667592,636350,607670,580619,555313,526396,496535,462780,428654,397121
United States,2020-04-27,988197,965785,938154,905358,869170,840351,811865,784326,758809,732197,699706,667592,636350,607670,580619,555313,526396,496535,462780,428654
United States,2020-04-28,1012582,988197,965785,938154,905358,869170,840351,811865,784326,758809,732197,699706,667592,636350,607670,580619,555313,526396,496535,462780
United States,2020-04-29,1039909,1012582,988197,965785,938154,905358,869170,840351,811865,784326,758809,732197,699706,667592,636350,607670,580619,555313,526396,496535
United States,2020-04-30,1069424,1039909,1012582,988197,965785,938154,905358,869170,840351,811865,784326,758809,732197,699706,667592,636350,607670,580619,555313,526396
United States,2020-05-01,1103461,1069424,1039909,1012582,988197,965785,938154,905358,869170,840351,811865,784326,758809,732197,699706,667592,636350,607670,580619,555313
United States,2020-05-02,1132539,1103461,1069424,1039909,1012582,988197,965785,938154,905358,869170,840351,811865,784326,758809,732197,699706,667592,636350,607670,580619
United States,2020-05-03,1158040,1132539,1103461,1069424,1039909,1012582,988197,965785,938154,905358,869170,840351,811865,784326,758809,732197,699706,667592,636350,607670
United States,2020-05-04,1180375,1158040,1132539,1103461,1069424,1039909,1012582,988197,965785,938154,905358,869170,840351,811865,784326,758809,732197,699706,667592,636350
United States,2020-05-05,1204351,1180375,1158040,1132539,1103461,1069424,1039909,1012582,988197,965785,938154,905358,869170,840351,811865,784326,758809,732197,699706,667592
United States,2020-05-06,1229331,1204351,1180375,1158040,1132539,1103461,1069424,1039909,1012582,988197,965785,938154,905358,869170,840351,811865,784326,758809,732197,699706
United States,2020-05-07,1257023,1229331,1204351,1180375,1158040,1132539,1103461,1069424,1039909,1012582,988197,965785,938154,905358,869170,840351,811865,784326,758809,732197
United States,2020-05-08,1283929,1257023,1229331,1204351,1180375,1158040,1132539,1103461,1069424,1039909,1012582,988197,965785,938154,905358,869170,840351,811865,784326,758809
United States,2020-05-09,1309550,1283929,1257023,1229331,1204351,1180375,1158040,1132539,1103461,1069424,1039909,1012582,988197,965785,938154,905358,869170,840351,811865,784326
United States,2020-05-10,1329260,1309550,1283929,1257023,1229331,1204351,1180375,1158040,1132539,1103461,1069424,1039909,1012582,988197,965785,938154,905358,869170,840351,811865
United States,2020-05-11,1347881,1329260,1309550,1283929,1257023,1229331,1204351,1180375,1158040,1132539,1103461,1069424,1039909,1012582,988197,965785,938154,905358,869170,840351
United States,2020-05-12,1369376,1347881,1329260,1309550,1283929,1257023,1229331,1204351,1180375,1158040,1132539,1103461,1069424,1039909,1012582,988197,965785,938154,905358,869170
United States,2020-05-13,1390406,1369376,1347881,1329260,1309550,1283929,1257023,1229331,1204351,1180375,1158040,1132539,1103461,1069424,1039909,1012582,988197,965785,938154,905358
United States,2020-05-14,1417774,1390406,1369376,1347881,1329260,1309550,1283929,1257023,1229331,1204351,1180375,1158040,1132539,1103461,1069424,1039909,1012582,988197,965785,938154
India,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2020-01-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2020-01-31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2020-02-01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2020-02-02,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2020-02-03,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2020-02-04,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2020-02-05,3,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2020-02-06,3,3,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
India,2020-02-07,3,3,3,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
India,2020-02-08,3,3,3,3,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0
India,2020-02-09,3,3,3,3,3,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0
India,2020-02-10,3,3,3,3,3,3,3,3,2,1,1,1,0,0,0,0,0,0,0,0
India,2020-02-11,3,3,3,3,3,3,3,3,3,2,1,1,1,0,0,0,0,0,0,0
India,2020-02-12,3,3,3,3,3,3,3,3,3,3,2,1,1,1,0,0,0,0,0,0
India,2020-02-13,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,0,0,0,0,0
India,2020-02-14,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,0,0,0,0
India,2020-02-15,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,0,0,0
India,2020-02-16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,0,0
India,2020-02-17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,0
India,2020-02-18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1
India,2020-02-19,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1
India,2020-02-20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
India,2020-02-21,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
India,2020-02-22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
India,2020-02-23,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
India,2020-02-24,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
India,2020-02-25,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
India,2020-02-26,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
India,2020-02-27,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
India,2020-02-28,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
India,2020-02-29,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
India,2020-03-01,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
India,2020-03-02,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
India,2020-03-03,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
India,2020-03-04,28,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
India,2020-03-05,30,28,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
India,2020-03-06,31,30,28,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
India,2020-03-07,34,31,30,28,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3
India,2020-03-08,39,34,31,30,28,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3
India,2020-03-09,43,39,34,31,30,28,5,5,3,3,3,3,3,3,3,3,3,3,3,3
India,2020-03-10,56,43,39,34,31,30,28,5,5,3,3,3,3,3,3,3,3,3,3,3
India,2020-03-11,62,56,43,39,34,31,30,28,5,5,3,3,3,3,3,3,3,3,3,3
India,2020-03-12,73,62,56,43,39,34,31,30,28,5,5,3,3,3,3,3,3,3,3,3
India,2020-03-13,82,73,62,56,43,39,34,31,30,28,5,5,3,3,3,3,3,3,3,3
India,2020-03-14,102,82,73,62,56,43,39,34,31,30,28,5,5,3,3,3,3,3,3,3
India,2020-03-15,113,102,82,73,62,56,43,39,34,31,30,28,5,5,3,3,3,3,3,3
India,2020-03-16,119,113,102,82,73,62,56,43,39,34,31,30,28,5,5,3,3,3,3,3
India,2020-03-17,142,119,113,102,82,73,62,56,43,39,34,31,30,28,5,5,3,3,3,3
India,2020-03-18,156,142,119,113,102,82,73,62,56,43,39,34,31,30,28,5,5,3,3,3
India,2020-03-19,194,156,142,119,113,102,82,73,62,56,43,39,34,31,30,28,5,5,3,3
India,2020-03-20,244,194,156,142,119,113,102,82,73,62,56,43,39,34,31,30,28,5,5,3
India,2020-03-21,330,244,194,156,142,119,113,102,82,73,62,56,43,39,34,31,30,28,5,5
India,2020-03-22,396,330,244,194,156,142,119,113,102,82,73,62,56,43,39,34,31,30,28,5
India,2020-03-23,499,396,330,244,194,156,142,119,113,102,82,73,62,56,43,39,34,31,30,28
India,2020-03-24,536,499,396,330,244,194,156,142,119,113,102,82,73,62,56,43,39,34,31,30
India,2020-03-25,657,536,499,396,330,244,194,156,142,119,113,102,82,73,62,56,43,39,34,31
India,2020-03-26,727,657,536,499,396,330,244,194,156,142,119,113,102,82,73,62,56,43,39,34
India,2020-03-27,887,727,657,536,499,396,330,244,194,156,142,119,113,102,82,73,62,56,43,39
India,2020-03-28,987,887,727,657,536,499,396,330,244,194,156,142,119,113,102,82,73,62,56,43
India,2020-03-29,1024,987,887,727,657,536,499,396,330,244,194,156,142,119,113,102,82,73,62,56
India,2020-03-30,1251,1024,987,887,727,657,536,499,396,330,244,194,156,142,119,113,102,82,73,62
India,2020-03-31,1397,1251,1024,987,887,727,657,536,499,396,330,244,194,156,142,119,113,102,82,73
India,2020-04-01,1998,1397,1251,1024,987,887,727,657,536,499,396,330,244,194,156,142,119,113,102,82
India,2020-04-02,2543,1998,1397,1251,1024,987,887,727,657,536,499,396,330,244,194,156,142,119,113,102
India,2020-04-03,2567,2543,1998,1397,1251,1024,987,887,727,657,536,499,396,330,244,194,156,142,119,113
India,2020-04-04,3082,2567,2543,1998,1397,1251,1024,987,887,727,657,536,499,396,330,244,194,156,142,119
India,2020-04-05,3588,3082,2567,2543,1998,1397,1251,1024,987,887,727,657,536,499,396,330,244,194,156,142
India,2020-04-06,4778,3588,3082,2567,2543,1998,1397,1251,1024,987,887,727,657,536,499,396,330,244,194,156
India,2020-04-07,5311,4778,3588,3082,2567,2543,1998,1397,1251,1024,987,887,727,657,536,499,396,330,244,194
India,2020-04-08,5916,5311,4778,3588,3082,2567,2543,1998,1397,1251,1024,987,887,727,657,536,499,396,330,244
India,2020-04-09,6725,5916,5311,4778,3588,3082,2567,2543,1998,1397,1251,1024,987,887,727,657,536,499,396,330
India,2020-04-10,7598,6725,5916,5311,4778,3588,3082,2567,2543,1998,1397,1251,1024,987,887,727,657,536,499,396
India,2020-04-11,8446,7598,6725,5916,5311,4778,3588,3082,2567,2543,1998,1397,1251,1024,987,887,727,657,536,499
India,2020-04-12,9205,8446,7598,6725,5916,5311,4778,3588,3082,2567,2543,1998,1397,1251,1024,987,887,727,657,536
India,2020-04-13,10453,9205,8446,7598,6725,5916,5311,4778,3588,3082,2567,2543,1998,1397,1251,1024,987,887,727,657
India,2020-04-14,11487,10453,9205,8446,7598,6725,5916,5311,4778,3588,3082,2567,2543,1998,1397,1251,1024,987,887,727
India,2020-04-15,12322,11487,10453,9205,8446,7598,6725,5916,5311,4778,3588,3082,2567,2543,1998,1397,1251,1024,987,887
India,2020-04-16,13430,12322,11487,10453,9205,8446,7598,6725,5916,5311,4778,3588,3082,2567,2543,1998,1397,1251,1024,987
India,2020-04-17,14352,13430,12322,11487,10453,9205,8446,7598,6725,5916,5311,4778,3588,3082,2567,2543,1998,1397,1251,1024
India,2020-04-18,15722,14352,13430,12322,11487,10453,9205,8446,7598,6725,5916,5311,4778,3588,3082,2567,2543,1998,1397,1251
India,2020-04-19,17615,15722,14352,13430,12322,11487,10453,9205,8446,7598,6725,5916,5311,4778,3588,3082,2567,2543,1998,1397
India,2020-04-20,18539,17615,15722,14352,13430,12322,11487,10453,9205,8446,7598,6725,5916,5311,4778,3588,3082,2567,2543,1998
India,2020-04-21,20080,18539,17615,15722,14352,13430,12322,11487,10453,9205,8446,7598,6725,5916,5311,4778,3588,3082,2567,2543
India,2020-04-22,21370,20080,18539,17615,15722,14352,13430,12322,11487,10453,9205,8446,7598,6725,5916,5311,4778,3588,3082,2567
India,2020-04-23,23077,21370,20080,18539,17615,15722,14352,13430,12322,11487,10453,9205,8446,7598,6725,5916,5311,4778,3588,3082
India,2020-04-24,24530,23077,21370,20080,18539,17615,15722,14352,13430,12322,11487,10453,9205,8446,7598,6725,5916,5311,4778,3588
India,2020-04-25,26283,24530,23077,21370,20080,18539,17615,15722,14352,13430,12322,11487,10453,9205,8446,7598,6725,5916,5311,4778
India,2020-04-26,27890,26283,24530,23077,21370,20080,18539,17615,15722,14352,13430,12322,11487,10453,9205,8446,7598,6725,5916,5311
India,2020-04-27,29451,27890,26283,24530,23077,21370,20080,18539,17615,15722,14352,13430,12322,11487,10453,9205,8446,7598,6725,5916
India,2020-04-28,31324,29451,27890,26283,24530,23077,21370,20080,18539,17615,15722,14352,13430,12322,11487,10453,9205,8446,7598,6725
India,2020-04-29,33062,31324,29451,27890,26283,24530,23077,21370,20080,18539,17615,15722,14352,13430,12322,11487,10453,9205,8446,7598
India,2020-04-30,34863,33062,31324,29451,27890,26283,24530,23077,21370,20080,18539,17615,15722,14352,13430,12322,11487,10453,9205,8446
India,2020-05-01,37257,34863,33062,31324,29451,27890,26283,24530,23077,21370,20080,18539,17615,15722,14352,13430,12322,11487,10453,9205
India,2020-05-02,39699,37257,34863,33062,31324,29451,27890,26283,24530,23077,21370,20080,18539,17615,15722,14352,13430,12322,11487,10453
India,2020-05-03,42505,39699,37257,34863,33062,31324,29451,27890,26283,24530,23077,21370,20080,18539,17615,15722,14352,13430,12322,11487
India,2020-05-04,46437,42505,39699,37257,34863,33062,31324,29451,27890,26283,24530,23077,21370,20080,18539,17615,15722,14352,13430,12322
India,2020-05-05,49400,46437,42505,39699,37257,34863,33062,31324,29451,27890,26283,24530,23077,21370,20080,18539,17615,15722,14352,13430
India,2020-05-06,52987,49400,46437,42505,39699,37257,34863,33062,31324,29451,27890,26283,24530,23077,21370,20080,18539,17615,15722,14352
India,2020-05-07,56351,52987,49400,46437,42505,39699,37257,34863,33062,31324,29451,27890,26283,24530,23077,21370,20080,18539,17615,15722
India,2020-05-08,59695,56351,52987,49400,46437,42505,39699,37257,34863,33062,31324,29451,27890,26283,24530,23077,21370,20080,18539,17615
India,2020-05-09,62808,59695,56351,52987,49400,46437,42505,39699,37257,34863,33062,31324,29451,27890,26283,24530,23077,21370,20080,18539
India,2020-05-10,67161,62808,59695,56351,52987,49400,46437,42505,39699,37257,34863,33062,31324,29451,27890,26283,24530,23077,21370,20080
India,2020-05-11,70768,67161,62808,59695,56351,52987,49400,46437,42505,39699,37257,34863,33062,31324,29451,27890,26283,24530,23077,21370
India,2020-05-12,74292,70768,67161,62808,59695,56351,52987,49400,46437,42505,39699,37257,34863,33062,31324,29451,27890,26283,24530,23077
India,2020-05-13,78055,74292,70768,67161,62808,59695,56351,52987,49400,46437,42505,39699,37257,34863,33062,31324,29451,27890,26283,24530
India,2020-05-14,81997,78055,74292,70768,67161,62808,59695,56351,52987,49400,46437,42505,39699,37257,34863,33062,31324,29451,27890,26283
Italy,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
